tileid,parenttile_id,resourceinstance_id,Anglicized name,Name in Roman (with diacritical marks),Alternative name(s),Name in Devanagari,sortorder,provisionaledits,nodegroup_id
20a8b654-a515-44f0-b06d-5015df89a31d,None,10afc076-5274-4ad9-9023-94b8c25893aa,Kuladeep Baha,Kuladīpā Bāhāḥ,"<p>Ṭeku Bāhāḥ (vernacular)</p>

<p>Cintāmaṇi Mahāvihāra (Sanskrit name)</p>

<p>Ṭeku Dobān Bāhā (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke</strong></a> 1985, 413)</p>

<p>Cintāmaṇi Vajradīpa Mahāvihāra (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/5A9SNX3X/q/locke"" target=""_blank""><strong>Locke</strong></a> 1985, 413)</p>

<p>Cintāmaṇi Vajrakuladīpa Mahāvihāra (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/N28GMP3U"" target=""_blank""><strong>Vajrācārya &amp; Vajrācārya</strong></a>&nbsp;1103, 31)</p>
",कुलदीप बाहा: || KAT2610,0,,27b6916c-9323-11e9-a015-0242ac120006
2963c379-3b93-49db-bd06-e05086ffe99a,None,1165bb2e-eb1e-11e9-8bc4-0242ac130002,    Lagankhel Phalca,    Laganakhela Phalcā,"<p>Lag&atilde;khyaḥ Phalcā</p>
",लगनखेल फल्चा || LAL4300,0,,27b6916c-9323-11e9-a015-0242ac120006
9c6353a2-518d-4ac2-945a-0d4273faf464,None,1176053e-eb54-11e9-8bc4-0242ac130002,Bhindyalachi Phalcha,Bhindyaḥlāchi Phalcā (ca. 1880 CE),"<p>Nhū Phalcā</p>
",भिन्द्यःलाछि फल्चा |*| LAL4135,0,,27b6916c-9323-11e9-a015-0242ac120006
e3e4c6fb-7b36-4807-b5ff-1eb7985fc7b0,None,125af64f-e4b8-47ef-92ed-3e19c7052d70,Vatsala Mandira,Vatsalā Mandira,,वत्सला मन्दिर ll BKT0093 ll,0,,27b6916c-9323-11e9-a015-0242ac120006
585f20db-59a3-4700-ab95-62c5d2872889,None,1279d314-220a-4acb-9622-67d050fc75db,Bhurtī Dhara,Bhurtī Dhārā (from approximately 13th-15th cent.),"<p>Bhurtī Hiṭī</p>

<p>Bhurtī Fountain</p>
",भुर्ती धारा || DLK0019,0,,27b6916c-9323-11e9-a015-0242ac120006
3e9cc43d-d806-4421-b5b8-ecec762e68bc,None,12c555ec-ea9c-11e9-8bc4-0242ac130002,Dhama Phalca,Dhaḥmā Phalcā,,धःमा फल्चा || LAL4306,0,,27b6916c-9323-11e9-a015-0242ac120006
acfc3171-6c9b-4da6-91c8-d15f052a29e7,None,12d828f2-e4f7-11e9-8bc4-0242ac130002,Mahadyah Nani Agama,Māhādyaḥ Nani Āgama,"<p>Olā Nani Āgama</p>

<p>Mahādyo Nani Āgama</p>
",महाद्यः ननि आगम |*| LAL0340,0,,27b6916c-9323-11e9-a015-0242ac120006
a4db7702-0341-426f-8f6f-86e3e02e7e80,None,12e25456-4bce-11ea-91df-0242ac130006,Puchva Chvaya Bahi,Pūcva Cvaya Bahī (before 1253 CE),"<p>Akṣeśvara Mahāvihāra (Sanskrit name)</p>

<p>Pūcva Thathu Bahī (Vernacular)</p>

<p>Pulavahīrī (<em><a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/FSJVMIWH/q/dhanavajra"" target=""_blank""><strong>Gopālarājavaṃśāvalī</strong></a></em>, fol.&nbsp;46a)</p>

<p>Śilāpuri Vāṇāgiri Vihāra (Inscription of NS 828)</p>

<p>Vāṇāgiri Jyeṣṭha Vihāra (Inscription of NS 835)</p>
",पूच्व च्वय बही || LAL0640,0,,27b6916c-9323-11e9-a015-0242ac120006
d09ea2b7-1223-4f14-bc9d-f7d3e487f6df,None,12f3faf5-d915-4a52-a73d-f19bd71e411a,Ganesh Mandir,Gaṇeśa Mandira (reconstructed in 2000 CE in its present look),"<p>Gaṇeś temple (<a href=""https://www.zotero.org/groups/2247442/nhdp-bibliography/items/itemKey/2S8K64WV"" target=""_blank""><strong>Shokoohy and others</strong></a>&nbsp;2014,176)</p>
",गणेश मन्दिर||KIR0034,0,,27b6916c-9323-11e9-a015-0242ac120006
624ec5de-d76c-42b9-af85-ebe6d7942887,None,138e0452-8e6c-4b68-8410-b5263da353a8,Latikoili Temple,Lāṭīkoilī Temple (16th cent. CE),"<p>Lāṭīkoilī Śiva Temple</p>

<p>Lāṭīkoilī Śiva Mandir</p>
",लाटीकोइली मन्डिर || SRK0030,0,,27b6916c-9323-11e9-a015-0242ac120006
