tileid,parenttile_id,resourceinstance_id,Object width,Object circumference,Object height,Object depth,sortorder,provisionaledits,nodegroup_id
6d816ce2-4102-42de-a4fe-81ab2f2812ea,26503def-c6d0-47b7-ac47-141c277880af,00fd72ab-5246-418e-b001-825a2f227a57,10.0,0.0,10.0,8.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
6888412d-9784-41a1-a022-d88be92b981d,81835800-5152-49d9-a458-cd832c07f743,00fd72ab-5246-418e-b001-825a2f227a57,85.0,0.0,33.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
a120201b-7007-4ce9-9491-373e23883b17,59fa8957-3947-4dfb-abdd-003513cf1953,01610bbc-5297-47cf-9164-9fa4f72a15a8,19.0,0.0,30.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
a51c9999-126e-44bb-98cf-73193b34a35c,abfb105b-3c96-4ea3-89be-a761e7e5fdc6,01610bbc-5297-47cf-9164-9fa4f72a15a8,0.0,31.0,0.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
0d88e833-1778-4e35-9086-563314550bc0,90e8695c-c389-4409-91ef-08ce86699e50,01610bbc-5297-47cf-9164-9fa4f72a15a8,112.0,0.0,147.0,112.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
d529dd64-af74-459c-bec5-db6f6f59b04c,a02e8c83-3b6b-4ec3-903d-42e2c8b54db2,01610bbc-5297-47cf-9164-9fa4f72a15a8,100.0,0.0,90.0,100.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
6d148710-d574-441e-8642-dad32a1a89b6,93740ee7-335e-47ca-bb41-2a4b4644ca3e,01610bbc-5297-47cf-9164-9fa4f72a15a8,25.0,0.0,69.0,58.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
ec75a0ea-633b-4432-a97e-f6919cec543e,cd7f6ea7-7b61-419a-aee3-3053192c4f05,01610bbc-5297-47cf-9164-9fa4f72a15a8,25.0,0.0,69.0,58.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
01a0f316-b2ff-4211-af3d-1f3f3fd3e06a,e137e258-86c5-41af-9657-976db4d2654e,01610bbc-5297-47cf-9164-9fa4f72a15a8,100.0,0.0,120.0,100.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
c510a2b4-b72b-4fba-9823-4683a5532661,5746b59b-27a8-44fa-a024-ef59863e3eee,01610bbc-5297-47cf-9164-9fa4f72a15a8,40.0,0.0,43.0,40.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
6fd2d477-b7fc-456f-8102-4097cbba9198,d2661dfc-9c16-4af5-a851-cd2d4b9f3df7,01610bbc-5297-47cf-9164-9fa4f72a15a8,19.0,0.0,30.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
3766949e-f54e-41e0-a48d-dfece95c1097,55b45815-16ab-4fb5-8a8a-85448ce24ae0,01610bbc-5297-47cf-9164-9fa4f72a15a8,19.0,0.0,30.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
de69a886-4676-4d0d-87bf-9bf96d084546,6f548eab-9ae3-40b0-9c4c-d381f5f7e78b,01610bbc-5297-47cf-9164-9fa4f72a15a8,19.0,0.0,30.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
c7c3cc75-0428-4109-94f9-33a1dad50830,babf0d8a-b052-4c47-a42c-47d28e0cc2d5,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,50.0,0.0,100.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
02876bd4-c262-4f5f-84ad-b9942f1ae39c,c6a37cf5-a544-4cd4-adde-848d90fb47bf,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,30.0,0.0,76.0,60.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
cc7137ec-cf98-4ac1-8c99-74b872dc9ffd,6ff1d429-2be8-47dd-9461-d25dfc44a790,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,107.0,0.0,150.0,10.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
efdf4d7f-7393-4a12-a0a6-02e9509d3563,f2cc0b8c-aca4-447b-8a07-f094f3bc6b70,01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,30.0,0.0,76.0,60.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
44db14d9-57a9-4e8d-913f-dcc119697e82,36c092db-efb0-4ab2-9d3a-b8802694a803,01de2008-1b9b-41d9-821a-b1eb6693db80,35.0,0.0,77.0,0.0,0,,4b849dc8-9eea-11e9-8b93-0242ac120006
