tileid,parenttile_id,resourceinstance_id,Thickness of walls,Type of bricks,sortorder,provisionaledits,nodegroup_id
afd66a9c-e509-4bb6-8773-ef6801742099,0d58b718-404d-49c1-af00-cf564672893a,0d480c66-3e6d-11ea-b44d-0242ac130006,23.0,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
9502deb0-625c-448c-83ef-9044d9c62b7f,c9790199-3e4e-45de-ab9a-81afe8074c9c,0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,34.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
c28d536e-4454-4224-8f9d-8dff943f3fe0,80119cdb-2252-4445-a5ac-d023dad33c67,0fb3ffc0-395f-42e9-bece-bba42a1c530b,35.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
e35feabe-fd82-48ef-80b8-fa975e43caaf,506ad445-418c-4fae-a7ae-802f69b93882,109ab54a-e9a3-11e9-8bc4-0242ac130002,35.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
95c2b9c5-ee15-4a37-ac94-e844562f0214,fdb31d51-8974-4216-9133-3ec53aafd15a,10afc076-5274-4ad9-9023-94b8c25893aa,40.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
2a67bfd8-13f6-4a57-81a1-c7554177ffbf,b58442e3-8715-41c6-998c-1e74fd528f6d,1165bb2e-eb1e-11e9-8bc4-0242ac130002,48.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
85cf918e-08dd-428e-853b-619d4457c903,17dbf718-6e97-4e82-a7dc-0a90e9f34d72,1176053e-eb54-11e9-8bc4-0242ac130002,35,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
c8062c83-5e52-472c-98ec-3e9de8545027,128465d1-5ecf-44d7-9559-f7c9d124315e,1279d314-220a-4acb-9622-67d050fc75db,,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
5ad71d3a-7138-4620-9f0f-08abe739e637,08561bd0-f4c3-497e-9d20-152ad8c0da9c,12c555ec-ea9c-11e9-8bc4-0242ac130002,52,"dāci apā (conical veneer brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a60a55d5-b918-4b4a-8812-64f34f728648,e78f2a8a-5caf-493d-823f-975b5abaa386,12d828f2-e4f7-11e9-8bc4-0242ac130002,55,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
82226d05-0977-4135-a86d-a02e8132f6e9,69a9402e-71b6-40d4-b282-0a76a1e94d66,12e25456-4bce-11ea-91df-0242ac130006,45,"dāci apā (conical veneer brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
7139eeb5-403c-43db-8136-6aea045183a5,d1d5c532-1611-45a5-a7e8-455ca364622f,12f3faf5-d915-4a52-a73d-f19bd71e411a,35.0,"dāci apā (conical veneer brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a7e1d57e-05a4-49bb-8709-44332150dfab,84a69222-c393-43ed-ad68-4f07bc9fadc4,138e0452-8e6c-4b68-8410-b5263da353a8,76.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
c8049b27-c2b9-4d9a-9f60-a234dc240759,11974410-45fa-4766-8e0e-8cf02bddef1d,13b0e238-70ba-11ea-b99f-0242ac130006,50.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
485548ec-133f-47c9-843e-946b2374a5a1,8dcdfb87-6679-43d2-938d-b590b2456031,13b406e0-8594-4cf7-8592-4e7d82bb4ce6,62.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
1d6e02c3-0bd8-4886-a274-e003165a1032,f069f479-4249-4c93-bada-61a49e025094,1414a11c-d6a1-46df-9667-8793239be9dd,,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
7f0d669a-f0f1-465c-8511-a9ab939e7268,842b4aba-b4db-418c-aada-8afc0f94bf23,141efef8-74ca-11ea-b4b6-0242ac130006,45.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
d41a3392-e976-49c7-835c-d3cc1ea5a38a,e01fd0de-00d7-4094-b19d-2a8901e59295,143332de-342b-4f52-92ac-dd1b5accd1ea,25.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
21763cf7-0273-415f-a8a9-74c62e1f912c,534793b1-a0aa-4dbf-abde-43c3c6b5dcf0,143b3eaf-9561-4dbe-8f57-5b84756b8865,50.0,"dāci apā (conical veneer brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
cac06147-6b2d-453d-8542-6c1312b47bf6,b8dabf17-44e1-4f9f-b702-2ea1aa8304fc,147f9da8-5a54-438d-b51e-1d473f23b374,70.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
f849507b-5e63-43c9-b9d4-0313fa8cc5c1,c1105eb1-1747-49ac-bbd7-0bf2d68f0a2a,14b65b9e-1869-4c2a-b0d4-d013efe48da0,45.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
5074e747-5186-47b7-bcbd-1aea68b1d185,6c56349b-2dc2-4a90-b847-2f063de620cf,14cbeef4-f646-11e9-a3c8-0242ac130002,60,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
5d3d50f7-87c6-43bc-95fc-1f3afd603a61,e3fa5411-bd95-478b-9608-7355ff984164,15217304-e6a8-11e9-b125-0242ac130002,47,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
0531d55f-a521-4f6e-a761-ad7c318d78bc,1d8329d1-d14f-46bd-99cb-63b004de75d9,154297b7-c1ca-4eca-813e-774c28a7f805,63.0,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
157c112f-9b2e-48f9-b511-aa8208599a71,180acd4c-e7f3-4221-a97e-52b842824467,15613d2a-e91b-11e9-b125-0242ac130002,37,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
2f974e14-a054-4109-80c8-e99230998d72,f94678e4-1d68-4e37-9533-237b4efe6b56,15a0ed8d-f812-482f-98fc-a61b6704b12f,45.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
42c4cfc3-8f91-4eab-895f-11f60ab396f5,4220d6bd-5758-48fb-8ced-89c29c24e01b,15acbf64-e9a4-11e9-b125-0242ac130002,,"mā apā (regular fired brick),desi apā (modern brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
38ec5dce-09a2-4c3e-b81d-86639763b4d7,5e124c52-ef26-4322-998b-578e34a3016f,15d6cfa0-0cb8-4616-8eed-9219ddbb76e3,22.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
adbd7e71-5459-43c6-b175-a4bd7b198516,3116193f-e97d-4b5f-90d5-3e08a91f7ceb,160dcc4f-6d81-421d-9eda-0fb8d248513c,45.0,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
38ac02e3-afdd-4c87-97fe-cc8628decdbb,3ef3273d-5c5b-4230-acb8-d0927d5f1dd3,16f8b0dc-e9b1-11e9-8bc4-0242ac130002,115,"dāci apā (conical veneer brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
65b948fb-dda2-4d36-946e-6c04fbb6fdb0,74e47017-16c2-4923-a2c7-bed21cef4004,170a68d0-e68d-11e9-b125-0242ac130002,60,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
74f140b3-a183-4a1e-8d34-caa9293bc2be,b4e0c794-523b-437f-aaf8-6f076cf6eb72,1724e57b-b911-48c1-ab87-68c43a852a64,57.0,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
a30b7377-de34-4347-99ca-caf26ebd2a35,53745fa3-5cfc-460f-b99f-bc718d0db44a,1772bbc6-e73f-11e9-8bc4-0242ac130002,60,"kaccī apā (unbaked, sun-dried brick),mā apā (regular fired brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
4a61bd86-d942-4db6-a043-ba8aad9e60c0,ee6e9017-32bb-42c0-828c-f284244ec23e,178fd214-e67d-11e9-8bc4-0242ac130002,720,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
23041871-3a10-4cb7-aac2-6331f3ffd7de,12a90264-6c18-48a0-ba82-17d5a70f6ec1,1798db32-ecce-11e9-8bc4-0242ac130002,60,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
21911eb0-743a-4237-856b-57b34c769629,4d81035a-53fd-48be-a76d-a23ce9d5c396,18f9e792-3138-11ea-b242-0242ac130002,45,desi apā (modern brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
74782ca7-f723-4407-898e-bd52c2f50efe,d90dddf3-6113-4f56-8670-246f505cc1ee,1914bb16-0362-11ea-a389-0242ac130002,35,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
04790c82-5925-46c3-a6f2-9a194deddc2d,4841e186-16d0-4d04-b11a-7a135c932639,1a039922-09eb-11ea-8a1c-0242ac130002,45,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
191c7bc0-db52-41b6-b27b-731721f68d89,251f0204-e90d-4a7c-ad88-4a4fb7eea01d,1a0a8ea8-eff1-11e9-a3c8-0242ac130002,51,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
bd260c7a-08b6-4980-80dd-787f001483e1,2ecbbb8a-9829-4035-850a-eefc1c657461,1a16c05c-ee04-4441-a90c-a9177408fb98,23.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
1a2e07a8-78da-11ea-a71c-0242ac130006,1a2c8d7e-78da-11ea-a71c-0242ac130006,1a1afb9a-78da-11ea-a71c-0242ac130006,62,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
53e8fef9-7162-40bf-b06e-05e33eaf1353,04304f8e-8654-481d-a450-e8b831dcb906,1a5335da-e755-11e9-b125-0242ac130002,56,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
13453edf-f2e3-4bfe-8158-8ca6ba9cd5c1,116c0b35-3b8d-4495-8527-cfcca4965d88,1a7f3f24-ec12-11e9-8bc4-0242ac130002,70,mā apā (regular fired brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
bf63ad90-ba95-4a50-8054-409f7634355c,0356f744-b05b-46c7-9934-9ff30c1356c7,1aadfb0c-34ff-4498-897c-8fe5259f197d,11.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
f09f36fe-6178-4fc1-a2b4-32ce8a01dbec,b7f9c4f3-7a3b-4e07-a652-967890817f0a,1b0a5033-a1ca-4049-8d6f-d1c7b243eabe,95.0,"mā apā (regular fired brick),dāci apā (conical veneer brick)",0,,32f24cba-9eea-11e9-8cbd-0242ac120006
5878016e-f1f7-4836-9eb6-e1d968983424,87087717-1edf-41c8-a8ab-a434c5d24d67,1b800023-3ea3-48df-b4ac-c2fae7966360,30.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
72fa7783-6315-4110-8498-fd354972cabc,07feadab-7ff4-4826-8b44-018da70a356c,1c2db54a-e68f-11e9-b125-0242ac130002,35,dāci apā (conical veneer brick),0,,32f24cba-9eea-11e9-8cbd-0242ac120006
f7b0dd10-4fa8-4dea-bff5-e4ab4e060726,6b365e78-47b2-4e2d-bde2-e7b272ac97ca,1cfe28d3-c6cb-4d26-8f94-f3e189e7a502,52.0,stone,0,,32f24cba-9eea-11e9-8cbd-0242ac120006
