tileid,parenttile_id,resourceinstance_id,Identification Number,Identifier Type,sortorder,provisionaledits,nodegroup_id
30f2b175-5f99-4039-a7bc-68850f5d2c2e,None,0d3c9626-fa37-11e9-8649-0242ac130002,LAL4208,,0,,28294108-9323-11e9-bf23-0242ac120006
fcefb6dc-73e9-4402-ac43-331dbee01cb1,None,0d480c66-3e6d-11ea-b44d-0242ac130006,LAL0570,,0,,28294108-9323-11e9-bf23-0242ac120006
8058ae1c-b35b-4f76-8073-64d3e52ba77c,None,0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,LAL4313,,0,,28294108-9323-11e9-bf23-0242ac120006
a48df405-b81f-4e54-aaa6-61368c2153e3,None,0fb3ffc0-395f-42e9-bece-bba42a1c530b,KAT1230 ,,0,,28294108-9323-11e9-bf23-0242ac120006
a2d86721-c46f-41f0-a5c1-b65819464089,None,109ab54a-e9a3-11e9-8bc4-0242ac130002,LAL4005,,0,,28294108-9323-11e9-bf23-0242ac120006
99534ba9-c579-4cbf-a4fc-9be2d8f17979,None,10afc076-5274-4ad9-9023-94b8c25893aa,KAT2610,,0,,28294108-9323-11e9-bf23-0242ac120006
9bc2fcd2-06f4-4722-9445-d4b9f9a88315,None,1165bb2e-eb1e-11e9-8bc4-0242ac130002,DANAM LAL4300,,0,,28294108-9323-11e9-bf23-0242ac120006
636cfb96-c78f-41b8-b238-d35d6a8fccbd,None,1176053e-eb54-11e9-8bc4-0242ac130002,LAL4135,,0,,28294108-9323-11e9-bf23-0242ac120006
4e505880-70c2-45dd-8b3f-eb34f872f54d,None,125af64f-e4b8-47ef-92ed-3e19c7052d70,BKT0093,,0,,28294108-9323-11e9-bf23-0242ac120006
aae860a2-d701-40cc-9622-7e800060ac55,None,1279d314-220a-4acb-9622-67d050fc75db,DLK0019,,0,,28294108-9323-11e9-bf23-0242ac120006
8a457f23-b46a-4c32-bb5b-50d09267c5cb,None,12c555ec-ea9c-11e9-8bc4-0242ac130002,LAL4306,,0,,28294108-9323-11e9-bf23-0242ac120006
dbbd96b1-6bbf-45b7-aba7-d5ceb5e778b7,None,12d828f2-e4f7-11e9-8bc4-0242ac130002,LAL0340,,0,,28294108-9323-11e9-bf23-0242ac120006
c5149d7e-b134-40f4-98fe-23a7b669123e,None,12e25456-4bce-11ea-91df-0242ac130006,LAL0640,,0,,28294108-9323-11e9-bf23-0242ac120006
7ed1e493-bd16-4454-9fb7-ed03d5fcc5b4,None,12f3faf5-d915-4a52-a73d-f19bd71e411a,KIR0034,,0,,28294108-9323-11e9-bf23-0242ac120006
fa4f50a6-463b-4bd4-b796-dd651dd5ea4a,None,138e0452-8e6c-4b68-8410-b5263da353a8,SRK0030,,0,,28294108-9323-11e9-bf23-0242ac120006
eef3c837-d27a-4518-a265-707fa35f28fd,None,1394f154-e70c-4fba-94b6-ef62156047ab, LAL1150,,0,,28294108-9323-11e9-bf23-0242ac120006
85b40a28-d0e0-4744-bb60-0b81574bad0d,None,13b0e238-70ba-11ea-b99f-0242ac130006,LAL0020,,0,,28294108-9323-11e9-bf23-0242ac120006
8a50b435-edff-41fe-a306-cf3f17044289,None,13b406e0-8594-4cf7-8592-4e7d82bb4ce6,KIR0011,,0,,28294108-9323-11e9-bf23-0242ac120006
2244e146-828b-4af1-8ced-6c8b25b2a769,None,1414a11c-d6a1-46df-9667-8793239be9dd,KLK0120,,0,,28294108-9323-11e9-bf23-0242ac120006
2d683fa5-1999-490a-9d1e-e2a001d62e22,None,141efef8-74ca-11ea-b4b6-0242ac130006,LAL4201,,0,,28294108-9323-11e9-bf23-0242ac120006
ccae07da-38a2-497b-9870-b8b02f8a4690,None,143332de-342b-4f52-92ac-dd1b5accd1ea,DLK0100,,0,,28294108-9323-11e9-bf23-0242ac120006
