tileid,parenttile_id,resourceinstance_id,historical construction period, historical pakshya,historical enddate,historical tithi,historical date (BCE/CE) ,historical peculiarities, historicalnepalimonth,historicalgate,historicaleventyear,sortorder,provisionaledits,nodegroup_id
d11673a8-ad20-4825-9106-109b70d9cb59,8d3ab283-e39e-49ce-990f-9bb2c5f1468e,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Late Malla period (1482-1768/69),Dark fortnight,,10,1614,,Māgha,,"<p>NS 734</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
62c4426b-f373-461d-940a-6d3a3a556c5a,5ffaae2b-92c6-42f6-ace9-4fb64eaaaf08,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Early Rana Period (1846-1885),Dark fortnight,,5,1868,,Māgha,,"<p>NS 988</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
33f08dcd-c343-4c9d-969a-d3e25bc4455d,8387f0f7-f636-48da-b11c-ecd86e285344,01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Democratic Period (1990-),,,,2013,,Caitra (Caita),7,"<p>VS 2069</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
5347dd4e-504d-4859-8594-5977bc2af076,91b36b52-db3f-4d40-a1ef-797f4e488ed3,02509f50-336d-423f-ac40-60dffc2d905c,Late Shaha Period (1951-1990),Dark fortnight,,10,0000,,Kārttika (Kārtika),,"<p>VS 2026, NS 1090</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
a7bbb8c2-9eb9-4110-b063-9cae2b65bd6e,5a9a5273-4d18-49b7-8ecd-df5171b9edb8,02509f50-336d-423f-ac40-60dffc2d905c,Late Shaha Period (1951-1990),,,,1719,,,,"<p>NS 839</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
d8a3d0fd-1da7-42c7-a346-3516125998a5,6a64a057-71d1-4e7d-a061-83c5b46d33e5,02509f50-336d-423f-ac40-60dffc2d905c,Late Malla period (1482-1768/69),,,,1715,"<p>अहिले बाहा:मा अभिलेख छैन, हराइसकेको छ ।</p>
",,,"<p>NS 835</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
da34ca8f-24dc-4b06-9c2a-0aa169fa3c12,227a6030-b8b6-4854-a343-8e09358ee2c1,02509f50-336d-423f-ac40-60dffc2d905c,Democratic Period (1990-),,,,2012,,Kārttika (Kārtika),13,"<p>VS 2069</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
e47dc65d-f539-491c-a39e-175dbf4b42c3,3b7414af-701f-4026-b35a-168fe1e9d6b5,02509f50-336d-423f-ac40-60dffc2d905c,Late Malla period (1482-1768/69),,,,1763,,,,"<p>NS 883</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
b2e7fd57-1fb6-4e19-b494-ffe2b52bdc83,026f8741-b896-4c7a-bb78-aa3ef11ab316,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,1997-10-24,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
83552f6b-b598-4b5a-a015-e464c03ab88f,0909981f-c0e2-4f61-a82e-63fb9db05439,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,2017,,Āṣāḍha (Asāra),,VS 2073 ,0,,ff597fea-a321-11e9-8e7b-0242ac140004
81213451-2a39-4ef5-bf14-0e20f613badf,034cef61-d3d9-44d3-afe1-6205333cecf9,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Late Shaha Period (1951-1990),,,,1976,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4521fceb-3be9-4bf0-95e9-085fccdd34cd,318cba0e-6a72-48de-9ab1-d8b468c93c4c,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Democratic Period (1990-),Gate,,,2000,,Bhādra (Bhadau),31,VS 2056,0,,ff597fea-a321-11e9-8e7b-0242ac140004
fdae0cb2-bc97-4423-abe3-c6274031e701,f75c7c8f-1dba-48c1-b500-124ed7dbd8f7,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Late Shaha Period (1951-1990),,,,1983,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
8d2e4977-416d-4a87-9f09-2025af11b434,0a77ea5e-271a-43c7-8fbd-d544fb4ce7e8,02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Late Shaha Period (1951-1990),,,,1958,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
0d121216-7c8b-44d9-a756-5845ef6be10a,de90ae9a-d3ba-4476-b1e5-da279e53dc64,03ab0902-61c8-4458-8eee-f23e345d9372,Democratic Period (1990-),,,,2012,,,,"<p>VS 2069</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
79ef8c8b-9d40-41fb-9e03-26a4fa66f291,018132d5-068a-4f8a-b96a-f54f0dbc60c2,03ab0902-61c8-4458-8eee-f23e345d9372,Shumsher Rana Period (1885-1951),,,,1934,,Māgha,2,"<p>VS 1990</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
a1a600b3-5a1c-4df5-b135-5851550d4009,707dac60-7f18-4835-8515-187119e99a2a,04e62546-0b04-41d7-9651-12189c45e5c6,Shumsher Rana Period (1885-1951),Bright fortnight ,,3,1950,,Vaiśākha (Vaisākha),,"<p>NS 1070</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
52d01080-0821-449e-ae61-b58f5cce17b4,8face0b6-1708-4254-a49f-e1230e821b47,04e62546-0b04-41d7-9651-12189c45e5c6,Late Shaha Period (1951-1990),Bright fortnight ,,12,1979,,Phālguna (Phāguna) ,,"<p>NS 1099</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
1f62a10e-bb60-4150-ac56-a6e398113396,6389c656-7a24-4c73-a9e9-554aed08f272,04e62546-0b04-41d7-9651-12189c45e5c6,Late Malla period (1482-1768/69),Dark fortnight,,8,1699,,Caitra (Caita),,"<p>NS 819</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
04fb4dfe-8b6b-4bc8-8498-2900590ac42e,86dc9da5-7741-437d-bec8-4e59ee3730a0,04e62546-0b04-41d7-9651-12189c45e5c6,Democratic Period (1990-),Gate,,,2002,,Śrāvaṇa (Sāuna),24,"<p>VS 2059</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
efc57c6e-2594-4599-ae4d-18d6738ba85e,5b893c33-4082-4345-be33-fd1ddc56ddda,04e62546-0b04-41d7-9651-12189c45e5c6,Democratic Period (1990-),Bright fortnight ,,10,1990,,Kārttika (Kārtika),,"<p>NS 1111</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
aff27818-49a6-4acd-aff5-64865fc55551,034905cc-c0a6-440f-a703-652230594df0,054498ec-d633-11e9-beea-0242ac140006,Late Malla period (1482-1768/69),Bright fortnight ,,New Moon,1687,,Vaiśākha (Vaisākha),,NS 807,0,,ff597fea-a321-11e9-8e7b-0242ac140004
68fa0bae-ab8e-4be6-b42d-b353ae4e225f,f2932c42-3409-49d7-9f37-7ae2727031a5,054498ec-d633-11e9-beea-0242ac140006,Shumsher Rana Period (1885-1951),Bright fortnight ,,2,1946,,Vaiśākha (Vaisākha),,NS 1066,0,,ff597fea-a321-11e9-8e7b-0242ac140004
5ef52f06-8192-4432-a62e-1d551c6e581e,96185ddc-3cec-4edc-94a9-054828d6913c,054498ec-d633-11e9-beea-0242ac140006,Early Rana Period (1846-1885),Bright fortnight ,,8,1876,,Jyeṣṭha (Jeṭha),,NS 996,0,,ff597fea-a321-11e9-8e7b-0242ac140004
67ede948-9778-4c78-85ec-c19be6ef1c92,f573867c-d0bb-472c-8f5b-f0b416342a11,054498ec-d633-11e9-beea-0242ac140006,Late Malla period (1482-1768/69),Unknown ,,New Moon,1689,,Āśvina (Asoja),,NS 809,0,,ff597fea-a321-11e9-8e7b-0242ac140004
28705a2f-16cf-41f2-8b9d-23ec06c035e1,555679c3-811d-4f8b-b4a6-939f4be51e54,054498ec-d633-11e9-beea-0242ac140006,Shumsher Rana Period (1885-1951),Bright fortnight ,,New Moon,1917,,Śrāvaṇa (Sāuna),,NS 1037,0,,ff597fea-a321-11e9-8e7b-0242ac140004
2d23d6d2-ba62-4ea6-848d-20f290c5412e,fe1697a2-b76d-4c1a-b3a4-9489cfeff13a,054498ec-d633-11e9-beea-0242ac140006,Late Malla period (1482-1768/69),Bright fortnight ,,New Moon,1720,,Vaiśākha (Vaisākha),,NS 840,0,,ff597fea-a321-11e9-8e7b-0242ac140004
0a8754ac-ee0c-49de-a74b-3881dd50a728,e4befb27-849f-4df0-9b70-67797d107637,054498ec-d633-11e9-beea-0242ac140006,Late Shaha Period (1951-1990),Bright fortnight ,,10,1982,,Mārgaśīrṣa (Maṅsira),,NS 1102,0,,ff597fea-a321-11e9-8e7b-0242ac140004
128d6664-41f9-42c8-8a86-abbb2e418b1e,ab8db5da-3e96-44f2-91a1-b3491ae85e9d,054498ec-d633-11e9-beea-0242ac140006,Shumsher Rana Period (1885-1951),,,,1915,,,,NS 1035,0,,ff597fea-a321-11e9-8e7b-0242ac140004
b8733ac5-1f67-418d-9e45-ff65660d8794,a24e35a2-f325-4181-81e4-bb33f8112660,054498ec-d633-11e9-beea-0242ac140006,,Unknown ,,,1661,,Āśvina (Asoja),,NS 781,0,,ff597fea-a321-11e9-8e7b-0242ac140004
bd653842-c45a-4f8d-b4b8-86b7ef9dbc7f,b56e1097-ca84-4c32-9f9a-56adde393b00,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,13,1755?,"<p>The part where date (especially year) is mentioned is covered by substances. Once the inscription is properly cleaned, our reading may change.</p>
",Jyeṣṭha (Jeṭha),,"<p>NS 875?</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
27d65fcb-4672-48e6-8eec-dd4574595380,7e1fb2d8-7a1b-4aa4-b69b-2e69bca63aec,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Early Shaha Period (17th century-1846),,,Full Moon,1798 CE,,Jyeṣṭha (Jeṭha),,NS 918,0,,ff597fea-a321-11e9-8e7b-0242ac140004
2d06a73a-b2a5-4b07-980f-c374c50ac32d,07dce498-3b8d-41d1-9449-1f0f83230f60,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),,,,1942 CE,,,,VS 1998,0,,ff597fea-a321-11e9-8e7b-0242ac140004
8c75c7cb-5f6a-4840-a65a-469408feab01,e58b0838-c0fb-420d-8e39-32d8bad8e22e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),Bright fortnight ,,13,1934,,Bhādra (Bhadau),,VS 1990,0,,ff597fea-a321-11e9-8e7b-0242ac140004
78407449-4d37-4e48-83c8-678c6dff5925,45047241-2e15-4d77-854e-4bbf7af3263e,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Early Shaha Period (17th century-1846),Bright fortnight ,,3,1819 CE,,Mārgaśīrṣa (Maṅsira),,NS 939,0,,ff597fea-a321-11e9-8e7b-0242ac140004
f2274c15-09c5-4c01-8ba3-bbd6aac1d8f0,b2122059-a193-46d5-8ab1-871c6f516732,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,5,1710,,Caitra (Caita),,"<p>NS 830</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
341a2ebd-7753-4c92-8113-b8d43abb0fd7,16d06e78-79cc-4c32-a8e9-819e96af7fe2,05e2a35c-e8d5-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,5,1667 CE,,Māgha,5,NS 787,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4a13875e-05d6-4ab4-9ec8-fcc764e45e64,08aac4d9-de10-4baf-9e5c-d42bf72ffecc,0687a32c-e7e8-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,1990-2000,,,,VS 2047-2057,0,,ff597fea-a321-11e9-8e7b-0242ac140004
6b8675af-08dd-43ab-9222-bf1c6b15e6ed,d118cd59-be56-4704-a035-f60b83ef22db,06a4360c-e5ec-11e9-b125-0242ac130002,,,,,0000,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
f66d9acf-d13b-409c-9a32-0a2cb953e042,f10c1b37-915c-40b7-9d9d-a739224f16e6,06a4360c-e5ec-11e9-b125-0242ac130002,Early Rana Period (1846-1885),Dark fortnight,,10,1874 CE,,Caitra (Caita),,"<p>NS 994</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
fc6a0808-eb13-4cca-9519-91e4f0713d71,8348d781-9234-4554-afde-59ff4377fd93,06a4360c-e5ec-11e9-b125-0242ac130002,Democratic Period (1990-),,,,1985-1990,,,,VS 2040-45,0,,ff597fea-a321-11e9-8e7b-0242ac140004
7f4b3b43-0521-4847-a4f6-935009cd010d,0d504cfb-2600-4bbe-afb5-5db6f94d0214,06a4360c-e5ec-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Dark fortnight,,10,1670 CE,,Caitra (Caita),,NS 790,0,,ff597fea-a321-11e9-8e7b-0242ac140004
372faec1-3d85-48d3-9dd7-2ace1fb971a1,eb64b50a-171c-45b0-9bd0-bb9eb7b95296,06a4360c-e5ec-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Dark fortnight,,14,1763,,Caitra (Caita),,NS 883,0,,ff597fea-a321-11e9-8e7b-0242ac140004
a3e15648-ce98-4711-99de-0492685dc5b6,9470c129-0672-4423-8b4f-ac53211e3c0e,06a4360c-e5ec-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,10,1708,,Caitra (Caita),,NS 828,0,,ff597fea-a321-11e9-8e7b-0242ac140004
