tileid,parenttile_id,resourceinstance_id,historical construction period, historical pakshya,historical enddate,historical tithi,historical date (BCE/CE) ,historical peculiarities, historicalnepalimonth,historicalgate,historicaleventyear,sortorder,provisionaledits,nodegroup_id
77e4a1cc-467f-4dd1-95c1-f779f07048ff,6dcfcbd7-8825-4073-80f5-4f6783d24cf6,309c85aa-e8ed-11e9-b125-0242ac130002,Early Rana Period (1846-1885),Bright fortnight ,,8,1876,,Śrāvaṇa (Sāuna),,NS 996,0,,ff597fea-a321-11e9-8e7b-0242ac140004
dc9d97a5-a954-443b-bd4e-a7a66f73225a,c98c3e6d-47f8-4196-8cac-19074b6605c8,309c85aa-e8ed-11e9-b125-0242ac130002,Early Rana Period (1846-1885),Bright fortnight ,,Full Moon,1871 CE,,Śrāvaṇa (Sāuna),,NS 991,0,,ff597fea-a321-11e9-8e7b-0242ac140004
3d36b2e5-d213-44c1-acbf-87846d17b498,16ea503d-544d-4102-a492-d50fe87c9ea3,309c85aa-e8ed-11e9-b125-0242ac130002,Late Shaha Period (1951-1990),,,,1986 CE,,Caitra (Caita),29,VS 2042,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4eb956a0-f209-4b29-a233-10c40de2d502,ca793f9f-34de-4791-a687-bf6fa120dfc5,309c85aa-e8ed-11e9-b125-0242ac130002,"Early Malla Period (13th-1482),Late Malla period (1482-1768/69)",Bright fortnight ,,5,1638,,Māgha,,NS 758,0,,ff597fea-a321-11e9-8e7b-0242ac140004
0cefb916-ca6e-4b2b-80e0-704989115db8,0c40f8d6-5dfe-4a56-b0a6-921d856f6c91,309c85aa-e8ed-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,Full Moon,1739,,Pauṣa (Pusa),,NS 859,0,,ff597fea-a321-11e9-8e7b-0242ac140004
23fac8ab-cfdd-4844-a214-95d141c7f758,6fb9e491-e683-4518-802b-dc15069ae85e,309c85aa-e8ed-11e9-b125-0242ac130002,Late Shaha Period (1951-1990),Gate,,7,1976 CE,,Phālguna (Phāguna) ,,VS 2032,0,,ff597fea-a321-11e9-8e7b-0242ac140004
a4f14a1b-cab7-485b-91f3-510e67d1b4bd,5e026022-fb5f-4a10-9769-52ffde1cbffe,309c85aa-e8ed-11e9-b125-0242ac130002,Shumsher Rana Period (1885-1951),Bright fortnight ,,,1943 CE,,Māgha,,NS 1063,0,,ff597fea-a321-11e9-8e7b-0242ac140004
a2c81983-b9f3-4a36-8593-8d8f3d7fa334,e21e57eb-388d-481f-b0d5-4791d0b06ced,309c85aa-e8ed-11e9-b125-0242ac130002,Shumsher Rana Period (1885-1951),Dark fortnight,,11,1895,,Āṣāḍha (Asāra),,NS 1015,0,,ff597fea-a321-11e9-8e7b-0242ac140004
df531fa8-505c-4eb6-9ba6-2e6248cc7ad2,485bd5ac-b787-42a6-bcc5-ae65e135604f,309c85aa-e8ed-11e9-b125-0242ac130002,Early Rana Period (1846-1885),Dark fortnight,,,1876 CE,,Śrāvaṇa (Sāuna),,NS 996,0,,ff597fea-a321-11e9-8e7b-0242ac140004
1ba63abd-0cae-4d0a-86c5-44058333019d,e943bb41-bf92-4d1a-8150-0db7cca594db,30a307d0-2282-11ea-b9b1-0242ac130002,Late Shaha Period (1951-1990),Bright fortnight ,,13,1980,,Phālguna (Phāguna) ,16,VS 2036,0,,ff597fea-a321-11e9-8e7b-0242ac140004
fbda961a-35c1-434f-aaa0-a7df9c4c755e,ebf9b6ed-6261-452f-bb45-1a6745d24bb5,30a307d0-2282-11ea-b9b1-0242ac130002,Late Shaha Period (1951-1990),Bright fortnight ,,13,1980,,Phālguna (Phāguna) ,16,VS 2036,0,,ff597fea-a321-11e9-8e7b-0242ac140004
8711bdaf-e638-4c62-b781-6e4e13fb465e,8f3b0e88-da87-4695-93d5-406e3cdd1045,30a307d0-2282-11ea-b9b1-0242ac130002,Late Malla period (1482-1768/69),Dark fortnight,,10,1659,,Caitra (Caita),,NS 779,0,,ff597fea-a321-11e9-8e7b-0242ac140004
3792e95b-1424-4d8d-8d73-bdb2bbbc362f,0b9c4cf0-8850-4524-80b3-8ca3ff3ec779,30a307d0-2282-11ea-b9b1-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,"14,Full Moon",1682,,Phālguna (Phāguna) ,,NS 802,0,,ff597fea-a321-11e9-8e7b-0242ac140004
27de48c3-c8f6-4f19-8854-b99d0c368fff,f1c6ca36-0cd9-4829-8a88-d13ff597a0e0,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Early Shaha Period (17th century-1846),Bright fortnight ,,5,1783 CE,,Āṣāḍha (Asāra),,"<p>NS 903</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
29818842-524a-437d-a942-9b6f6c26fdac,e5f5a1a4-920e-4dd3-aae2-e0acd7a9b4e5,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Democratic Period (1990-),Gate,,,1997 CE,,Māgha,11,"<p>VS 2054</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
f3885d8a-cf19-4e50-a9d2-24dfc75eb71a,cc8deb06-91ab-4795-8208-02732d1edbc9,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Democratic Period (1990-),,,,1998 CE,,,,"<p>VS 2055</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
af09c908-406b-412c-8280-959c2b762cc5,9d4bdfe8-b064-4b43-99a2-f6025cacbfed,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Democratic Period (1990-),,,,1997 CE,,,,"<p>The date is not inscribed on the inscription. According to the priest of the temple, the statue of Gaṇeśa was installed during the restoration of the temple in 1997 CE.</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
e5c65af9-6dec-4754-9c32-2e7fe325da53,61d562c5-cd60-4215-8862-227dff794f95,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Democratic Period (1990-),Gate,,,1996 CE,,Śrāvaṇa (Sāuna),6,"<p>VS 2053</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
ff2f9d7e-48fe-48e2-8eb2-c928b26ef562,5151d8e9-e055-454f-8af7-133653316d89,30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Democratic Period (1990-),Gate,,,1995 CE,,Āṣāḍha (Asāra),19,"<p>VS 2052</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
3901e08a-e125-4d40-b996-699593fcb8d4,7201ab7e-bf15-4d19-9661-809e3a547d29,3167408a-4c14-11ea-91df-0242ac130006,Democratic Period (1990-),Gate,,,2015 CE,,Vaiśākha (Vaisākha),12,VS 2072,0,,ff597fea-a321-11e9-8e7b-0242ac140004
ed5166dd-0e00-4daf-868b-056583fd569f,2ba0e413-1a06-4ed8-9150-888cf7111166,3167408a-4c14-11ea-91df-0242ac130006,Democratic Period (1990-),,,,2013,,,,VS 2069,0,,ff597fea-a321-11e9-8e7b-0242ac140004
7e4290b8-44a6-4297-a5f3-6b67eb1cdef8,1ce281e9-5b02-45f8-a314-b59fb9fe5966,3167408a-4c14-11ea-91df-0242ac130006,Late Shaha Period (1951-1990),,,,1954 CE,,,,VS 2011,0,,ff597fea-a321-11e9-8e7b-0242ac140004
a8fcfc1e-c681-425f-9166-512144f0ddf6,5b09dd07-ca34-48ca-a17f-244d7f5bc79f,3167408a-4c14-11ea-91df-0242ac130006,Democratic Period (1990-),,,,2019,,,,VS 2076,0,,ff597fea-a321-11e9-8e7b-0242ac140004
ec588d7d-9ef6-4554-875c-49cefaa7b846,c85e46a2-a2d6-4950-858c-d12237c6dd59,321aa815-750d-4468-9903-b3ae79e07793,Democratic Period (1990-),,,,~2008,,,,"<p>~VS 2065</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
a6390b80-cb1c-4750-8a3f-ee49018a78dd,04f88c93-3737-4177-a030-dec44cee037a,321aa815-750d-4468-9903-b3ae79e07793,Early Shaha Period (17th century-1846),,,,1775,,,,"<p>NS 895</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
33cd1f0a-8be0-4b66-b71c-0d58bd381390,4fefa48b-0df7-4030-a3d6-2d4f602ef18e,321aa815-750d-4468-9903-b3ae79e07793,,,,,2009,,,,"<p>VS 2066 (NS 1130)</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
24fd85d5-2554-4c96-b0af-453af767bf7b,5ecb5c75-6d2f-4d04-8f8c-ddf9a143ee1f,3331db72-539f-11ea-b4c2-0242ac130006,Shumsher Rana Period (1885-1951),,,,1934,,Māgha,2,"<p>VS 1990</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
6ebf6f82-3afd-47d7-b81b-b5464e4c99e9,5fb9bd1c-f0f1-4f7e-839b-ad3519578326,3331db72-539f-11ea-b4c2-0242ac130006,Late Malla period (1482-1768/69),Bright fortnight ,,Full Moon,1703,,Jyeṣṭha (Jeṭha),,"<p>NS 823</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
5575fbff-27a3-4112-bda2-c2b74bc44286,92764732-01d3-4de0-950e-f2259fb4956b,3331db72-539f-11ea-b4c2-0242ac130006,Late Shaha Period (1951-1990),,,,1988,,,,"<p>VS 2044</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
7dd221d9-ee99-4152-9557-86ff6959cd25,d4f03562-892f-450a-adce-412219fea625,33706bde-e4e7-11e9-b125-0242ac130002,Late Shaha Period (1951-1990),,,,1974,,,,VS 2031,0,,ff597fea-a321-11e9-8e7b-0242ac140004
e71f363f-ed06-4804-88ec-d9dde6486198,2fd7005b-00b0-41ec-9c77-521b912f7014,33706bde-e4e7-11e9-b125-0242ac130002,,,,,2012 CE,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
b75eb925-76dd-40c9-b023-f4a393273989,106720d3-1201-49e9-970f-6dc3db74a145,33776afc-ea72-11e9-b125-0242ac130002,,,,,0000,,,,Unknown,0,,ff597fea-a321-11e9-8e7b-0242ac140004
51323589-b4ef-4268-a993-49cecbdfb614,58ee91d3-fc97-4824-ad25-6d68e425bedd,33776afc-ea72-11e9-b125-0242ac130002,Democratic Period (1990-),,,,1993,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
10ad6a91-4313-4fc5-aaee-25db505edfbd,dea9b3fe-c143-4f41-bee8-46a8e9b91981,33d9ec0a-e733-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),,,,1935,,,,VS 1992,0,,ff597fea-a321-11e9-8e7b-0242ac140004
d724d812-cfc3-4a51-9687-170f865add46,ce4c276f-9f87-4f36-a514-f69bfcc71878,33d9ec0a-e733-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),,,,1709,,,,NS 829,0,,ff597fea-a321-11e9-8e7b-0242ac140004
98a5df6f-adf9-4d82-ad1f-c58cc62582eb,f45a65ae-a845-4c63-9bac-2facae33f874,33d9ec0a-e733-11e9-8bc4-0242ac130002,Democratic Period (1990-),Gate,Māgha 6 ,3,2010,"<p>3 gate</p>
",Phālguna (Phāguna) ,,VS 2058,0,,ff597fea-a321-11e9-8e7b-0242ac140004
66776ea8-3965-4b92-a6d6-80c5e564c3e9,8f9f6bbb-a7c6-4466-a8d3-75b635efd8b9,33d9ec0a-e733-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),,,,1940,,,,NS 1060,0,,ff597fea-a321-11e9-8e7b-0242ac140004
7e117908-7d27-4d01-8f83-d1b8cec22ae5,592e021f-c93a-4874-b5a5-bfea893f3780,3440946e-e936-11e9-b125-0242ac130002,Late Shaha Period (1951-1990),,,,1968 CE,,,,VS 2024,0,,ff597fea-a321-11e9-8e7b-0242ac140004
cffac932-1d3e-4cf1-bc84-9c7461acc1a4,d05456d8-2a80-4245-802b-8569bda8f44a,3440946e-e936-11e9-b125-0242ac130002,Democratic Period (1990-),,,,2015 CE,,Vaiśākha (Vaisākha),12,VS 2072,0,,ff597fea-a321-11e9-8e7b-0242ac140004
dbeb5795-ee68-462b-b3f7-81f75e5d5be9,8abf5845-8761-400f-9873-6ff89e22bfb2,3440946e-e936-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),Dark fortnight,,13,1566 CE,,Māgha,,NS 686,0,,ff597fea-a321-11e9-8e7b-0242ac140004
f97cf8c2-8aef-441a-9e95-10378a942a47,da18f1e0-a34e-4153-971d-b28c871a9bb9,34d6f310-e5e3-11e9-8bc4-0242ac130002,Democratic Period (1990-),Gate,,,2007,,Āṣāḍha (Asāra),32,VS 2064,0,,ff597fea-a321-11e9-8e7b-0242ac140004
520e8fa4-ba7f-4103-93f2-d5b08141ba10,dd21a5ed-5f20-47b0-98aa-4b9f91c5904c,34d6f310-e5e3-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,2013,,Phālguna (Phāguna) ,27,VS 2069,0,,ff597fea-a321-11e9-8e7b-0242ac140004
475dacc3-ce1f-441f-80b9-f5baf40cf582,18b5ffde-4090-441a-8364-a4e81e78dfc8,34d6f310-e5e3-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,12,1756,,,,NS 876,0,,ff597fea-a321-11e9-8e7b-0242ac140004
cae8eb4f-f2bb-4a52-99d3-fab2a61338e4,25e9e97e-0933-4718-8cbc-9d9bbb865309,34d6f310-e5e3-11e9-8bc4-0242ac130002,Late Shaha Period (1951-1990),,VS 2024,,1967-1968,,,,VS 2023,0,,ff597fea-a321-11e9-8e7b-0242ac140004
fb634cb1-dec4-42bc-8032-f4e83139588e,aba988e7-dcd3-468c-b4ff-c94b1397efdb,34d6f310-e5e3-11e9-8bc4-0242ac130002,Shumsher Rana Period (1885-1951),,,,1905,,Kārttika (Kārtika),,VS 1962,0,,ff597fea-a321-11e9-8e7b-0242ac140004
6a1751c7-4bfe-4257-8b70-1a7ceb01be8c,f3a52f1c-d8bc-4fa7-826c-ee6b07bafc0e,3570c001-88bd-42d7-aa26-47c6f09f5a6b,Shumsher Rana Period (1885-1951),Gate,,,1918 CE,,Vaiśākha (Vaisākha),4,"<p>VS 1975</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
61f911c8-4c5b-4be9-888c-3177401fb39f,bb1c94db-cf91-4f6f-8f06-b46838c32528,3570c001-88bd-42d7-aa26-47c6f09f5a6b,Democratic Period (1990-),,,,2002 CE,,,,"<p>VS 2059</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
85f83a74-8555-459d-b7bc-48409595106c,6d8c17be-1219-4956-ad58-927c8a3534be,3570c001-88bd-42d7-aa26-47c6f09f5a6b,Democratic Period (1990-),,,,2017 CE,,,,"<p>VS 2074</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
2c1e790e-e7fa-4cf9-8a26-0da0efa6df29,b51e3afc-4f8f-47aa-a967-8d8d4ea6eeac,358d5c28-12c4-477a-b2a5-3be3164b7657,Democratic Period (1990-),,,,2021,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
408a1ef4-d415-4e27-823f-b997d806635a,92872969-100b-41d3-b50a-0398e6934065,362d533e-e8f0-11e9-b125-0242ac130002,Late Malla period (1482-1768/69),,,,1714,,,,NS 834,0,,ff597fea-a321-11e9-8e7b-0242ac140004
5136c5a8-171f-467c-83e0-4d4a74cd684c,2b447f65-2335-47c6-9ec2-fa96dbe2633b,362d533e-e8f0-11e9-b125-0242ac130002,Early Rana Period (1846-1885),Bright fortnight ,,12,1882,"<p>Sunday</p>
",Vaiśākha (Vaisākha),,NS 1002,0,,ff597fea-a321-11e9-8e7b-0242ac140004
8a493e31-4186-4b20-8a8c-e85747fee282,cbfce8aa-5921-44ef-87f4-225bcd8e4f98,362d533e-e8f0-11e9-b125-0242ac130002,Shumsher Rana Period (1885-1951),Dark fortnight,,1,1991,,Mārgaśīrṣa (Maṅsira),,NS 1021,0,,ff597fea-a321-11e9-8e7b-0242ac140004
cd392ccd-44ec-478c-b5d1-46f804fc30de,a10a28f6-da7b-464f-8096-057b5b922f2a,362d533e-e8f0-11e9-b125-0242ac130002,Democratic Period (1990-),,,,2016,,,,VS 2074,0,,ff597fea-a321-11e9-8e7b-0242ac140004
809c36fd-a27e-421c-98a5-212e582e1094,3742c33c-b8dc-44b6-a966-1f4dd8f7e6a6,362d533e-e8f0-11e9-b125-0242ac130002,Democratic Period (1990-),,,,1197,,,,NS 1117,0,,ff597fea-a321-11e9-8e7b-0242ac140004
d263f1cb-0364-41b1-a098-28551475e37c,a02c648c-9cec-465f-8320-cab9cb28dd44,362d533e-e8f0-11e9-b125-0242ac130002,,,,,2015,"<p>The earthquake of 2015</p>
",Vaiśākha (Vaisākha),12,VS 2072,0,,ff597fea-a321-11e9-8e7b-0242ac140004
9b8b535d-0518-46c7-817e-ac734a5d8aaa,58308196-b35d-4046-aa37-b0e5b41adf19,3655168d-4513-4bba-956d-69d76e83f0aa,Democratic Period (1990-),,,,2017 CE,,,,"<p>VS 2074</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
f609e5d3-28e7-42b7-a976-adca86b4dc42,cf2d6424-451c-4cbb-a4ff-b8d7acd8e24d,3655168d-4513-4bba-956d-69d76e83f0aa,Early Shaha Period (17th century-1846),Dark fortnight,,7,1844 CE,,Pauṣa (Pusa),,"<p>NS 964</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
07b2d50d-9b35-4855-8da8-c2165e22e694,dc77e3d9-1ebc-465d-bd2d-a3d9cbf6b203,3655168d-4513-4bba-956d-69d76e83f0aa,Early Shaha Period (17th century-1846),Bright fortnight ,,10,1844 CE,"<p>The inscribed stone stele was once free-standing as the tenon indicates.</p>
",Jyeṣṭha (Jeṭha),,"<p>NS 964</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
6fc3bab6-6265-425b-9193-e3a4475f8c70,2860f12d-7bdd-4631-80ef-1029c2b5f2de,3655168d-4513-4bba-956d-69d76e83f0aa,,,,,0000,,,,"<p>No date is mentioned in the inscription.</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
0fad944f-9e77-4118-9f31-47f1e9ef548e,86c5b371-63cd-4482-aba8-06d1edf3ea81,36638422-afa6-11ea-9766-0242ac130005,Late Malla period (1482-1768/69),Bright fortnight ,,3,1739,,Vaiśākha (Vaisākha),,"<p>NS 859</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
7524ebf1-67e0-41d2-ab10-e554709f57a5,901d1f5a-6542-4c2d-b11f-6397c80cf318,36638422-afa6-11ea-9766-0242ac130005,Democratic Period (1990-),,,,2009 CE,,,,"<p>VS 2066</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
c9fe0dc6-ee3f-4950-abe3-d49e05ff14ef,00612441-d79b-4757-a316-119cbabc5e27,3668d45a-f899-11e9-8649-0242ac130002,Late Shaha Period (1951-1990),Dark fortnight,,14,1979,,Caitra (Caita),14,2035 VS,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4421e459-85d9-4d0f-bc9e-9ce82e846ec3,2a0607fb-29e8-4138-b205-2d746114597b,37438b5c-d78a-11e9-beea-0242ac140006,Late Shaha Period (1951-1990),,,,1980 CE,,,,VS 2037,0,,ff597fea-a321-11e9-8e7b-0242ac140004
1f6a9c0a-ad7e-412b-b2d0-1c1e89058fb1,2d62740f-b627-4825-a92d-ef5c970f711b,378c13d0-d632-11e9-a1bd-0242ac140006,Late Malla period (1482-1768/69),Bright fortnight ,,1,1676 CE,"<p>*</p>
",Kārttika (Kārtika),,NS 796,0,,ff597fea-a321-11e9-8e7b-0242ac140004
5e7d635b-52f9-4930-af45-47ab3191fd2f,cff265d8-cfec-41e9-af68-ac8e5337fd49,378c13d0-d632-11e9-a1bd-0242ac140006,Late Malla period (1482-1768/69),Bright fortnight ,,9,1656 CE,,Caitra (Caita),,NS 776,0,,ff597fea-a321-11e9-8e7b-0242ac140004
947de480-51e3-46c7-8860-01b74fb7df3d,60a3d29b-66d0-46e7-b9a2-99743d665be4,378c13d0-d632-11e9-a1bd-0242ac140006,Late Malla period (1482-1768/69),Dark fortnight,,5,1647 CE,"<p>*</p>
",Vaiśākha (Vaisākha),,NS 767,0,,ff597fea-a321-11e9-8e7b-0242ac140004
e99d0b8f-5c27-4a70-bfed-bbf2444a1658,f85d9923-4407-4170-83a9-bf19c433b62e,378c13d0-d632-11e9-a1bd-0242ac140006,Late Malla period (1482-1768/69),Bright fortnight ,,Full Moon,1660 CE,,Āśvina (Asoja),,NS 780,0,,ff597fea-a321-11e9-8e7b-0242ac140004
2c984308-8df0-423f-baff-ab0b22b8bd11,0860466e-3c94-4227-b623-6d144e7e3e33,38e62b02-e759-11e9-8bc4-0242ac130002,Early Rana Period (1846-1885),Bright fortnight ,,1,0000,,Śrāvaṇa (Sāuna),,NS 793,0,,ff597fea-a321-11e9-8e7b-0242ac140004
94c8b531-426c-4a93-86b6-37c0bfa936ce,d0f18d61-7fe8-41e8-aded-296edd502c58,38e62b02-e759-11e9-8bc4-0242ac130002,Late Shaha Period (1951-1990),Bright fortnight ,,Full Moon,CE 1970,,Vaiśākha (Vaisākha),,NS 1090,0,,ff597fea-a321-11e9-8e7b-0242ac140004
4b605827-afbc-4357-a226-36167fafd66b,5fecb49d-f8d3-4bac-b96d-9c225aeb1c15,38e62b02-e759-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),,,,1669,,,,,0,,ff597fea-a321-11e9-8e7b-0242ac140004
3b807b73-da18-4892-b956-00062a769e6a,8d8e1b44-5360-44a5-9bc4-2de6880fe485,39bb2040-e9fd-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,9,1696 CE,,Caitra (Caita),,NS 816,0,,ff597fea-a321-11e9-8e7b-0242ac140004
c12593f1-e09a-4c0c-a1a0-61510f9c1ff9,b8a18330-e16a-41c4-8a8b-64ffa4a0923e,39bb2040-e9fd-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),,,,1730 CE,,,,VS 1790s,0,,ff597fea-a321-11e9-8e7b-0242ac140004
e8f26363-f9f5-4aa4-b27e-df26d97e40b8,5aa67a81-e32f-4894-b8f7-bfff69dcba53,39bb2040-e9fd-11e9-8bc4-0242ac130002,Early Shaha Period (17th century-1846),,,8,1799 CE,,Āśvina (Asoja),,"VS 1856, ŚS 1721",0,,ff597fea-a321-11e9-8e7b-0242ac140004
162bc6d0-b957-4970-84eb-8e066444ed7a,d42b1db1-897f-41e6-983c-48af87a2dd1d,39bb2040-e9fd-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),,,,1698 CE,,,,NS 818,0,,ff597fea-a321-11e9-8e7b-0242ac140004
04224a3f-696c-41f0-9f3b-e6b29af2f684,f05fde5e-d472-4132-8bd4-b51605c70507,39bb2040-e9fd-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,2011 CE,,,,VS 2068,0,,ff597fea-a321-11e9-8e7b-0242ac140004
70c20660-b27e-4388-af98-e61fc905f74d,1f1145b2-7bd9-49c8-85f1-d369c933639d,39bb2040-e9fd-11e9-8bc4-0242ac130002,Early Rana Period (1846-1885),,,,1850,,,,VS 1910s,0,,ff597fea-a321-11e9-8e7b-0242ac140004
c6fd44e1-8437-4e7a-9985-bc0cfa844e6b,f6e2ba6d-4580-4ab5-907a-a3cc70f2ce7e,39bb2040-e9fd-11e9-8bc4-0242ac130002,Democratic Period (1990-),,,,2010-2012 CE,,,,VS 2067-2069,0,,ff597fea-a321-11e9-8e7b-0242ac140004
cb3a2335-f93b-4f04-83ea-83f4c9c37571,8926f7f9-022a-46ac-983f-cbf957e71b9f,39bb2040-e9fd-11e9-8bc4-0242ac130002,Late Malla period (1482-1768/69),Bright fortnight ,,1,1666 CE,,Āśvina (Asoja),,NS 786,0,,ff597fea-a321-11e9-8e7b-0242ac140004
de678db5-0e58-47bb-816c-2ffe5a5dd7b1,46067a0d-4251-4818-88cf-54f3a34c9196,39bb2040-e9fd-11e9-8bc4-0242ac130002,Early Shaha Period (17th century-1846),Bright fortnight ,,,1840 CE,,Pauṣa (Pusa),,VS 1897,0,,ff597fea-a321-11e9-8e7b-0242ac140004
50b37e9d-f13a-480e-a8c2-e930eefc6444,1a6dd087-9aeb-4ef3-8cbe-158dac58ccd5,39beb848-fc76-43de-bdad-12ea8914001b,Late Shaha Period (1951-1990),,,,1958,,,,"<p>VS 2015</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
2ead9f04-9fcb-4335-b379-931f699f4965,f8ace4b8-1fd7-4dec-a484-08dfa5ad641a,39beb848-fc76-43de-bdad-12ea8914001b,Late Malla period (1482-1768/69),Bright fortnight ,,5,1701,,Māgha,,"<p>NS 821</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
6ce5f568-e889-4571-b563-58e5c29b31c3,5ee6b352-6f0d-4df8-b53b-7052e7fd7f0d,39beb848-fc76-43de-bdad-12ea8914001b,Democratic Period (1990-),,,,2012,,Caitra (Caita),18,"<p>NS 1132, VS 2068</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
cf6ea757-a0a4-4e5e-ae7d-992ae157c3b3,20ed0dd3-3dc0-46ed-8dcd-b5970d9ab231,39beb848-fc76-43de-bdad-12ea8914001b,Democratic Period (1990-),,,,2008,,Āśvina (Asoja),14,"<p>VS 2065</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
8802206b-7cd4-4e45-9b6b-25627d279013,fc8715d0-9228-460b-b1c7-97d6aac7d1a6,39beb848-fc76-43de-bdad-12ea8914001b,Democratic Period (1990-),Bright fortnight ,,14,2009,,Śrāvaṇa (Sāuna),,"<p>NS 1129</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
6cd6db9b-0c5d-4eed-ac58-2651a411aae8,e27656bf-a3de-4c51-837b-0e244b39564e,39beb848-fc76-43de-bdad-12ea8914001b,Early Shaha Period (17th century-1846),Bright fortnight ,,3,1819,"<p>The images of Miramha and Rājyalakṣmī are made at the bottom of the inscription.</p>
",Mārgaśīrṣa (Maṅsira),,"<p>NS 939</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
ad9c7212-90db-4b30-ad45-3f7d0b9d2912,2d3356ad-d8fe-40bd-ab91-b22248f67b7b,39beb848-fc76-43de-bdad-12ea8914001b,Democratic Period (1990-),,,,2008,,Śrāvaṇa (Sāuna),8,"<p>VS 2065</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
f17a1d00-cded-4255-9de9-a191d25ac4a1,db76bcdd-87a2-47c3-a183-9791d6bd1174,39beb848-fc76-43de-bdad-12ea8914001b,Democratic Period (1990-),,,,2006,,Āśvina (Asoja),7,"<p>VS 2063</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
0a3b139e-157c-4b52-9215-e2e207128007,cbd93b86-f2d9-49dc-8dbe-db7677f47e0b,39beb848-fc76-43de-bdad-12ea8914001b,Late Malla period (1482-1768/69),Dark fortnight,,6,1696,,Jyeṣṭha (Jeṭha),,"<p>NS 816</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
30c88e76-926c-4d6c-abad-dde18c0716ea,d8e37656-094c-44af-8524-83788d52af66,39beb848-fc76-43de-bdad-12ea8914001b,Shumsher Rana Period (1885-1951),Bright fortnight ,,4,1891,,Caitra (Caita),,"<p>VS 1948</p>
",0,,ff597fea-a321-11e9-8e7b-0242ac140004
